epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,351.935,5.84077,4.54373,3.62946,0.14041,0.09523,0.03718,0.01451,3.49202,3.04185,2.56251,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127
2,625.415,3.31664,3.21878,2.28694,0.31435,0.11028,0.084,0.04065,2.66555,2.50245,2.0178,0.0199278,0.00664261,0.0199278,0.00664261,0.0199278,0.00664261,0.0199278,0.00664261
3,889.027,2.74005,2.78167,1.91929,0.24419,0.14966,0.10758,0.05541,2.35516,2.25561,1.78154,0.0297959,0.00993195,0.0297959,0.00993195,0.0297959,0.00993195,0.0297959,0.00993195
4,1147.64,2.47727,2.51816,1.75012,0.17773,0.16657,0.13882,0.07479,2.2052,2.04282,1.68381,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1406.26,2.3128,2.28618,1.64638,0.23053,0.21951,0.1688,0.09276,2.07995,1.9042,1.57442,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1664.76,2.21777,2.12621,1.58142,0.26852,0.24901,0.19848,0.11067,1.97897,1.78581,1.52588,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1923.23,2.14263,2.02075,1.53198,0.2805,0.25801,0.2134,0.12031,1.94555,1.71049,1.48824,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,2181.35,2.08821,1.92743,1.49948,0.3014,0.27442,0.23135,0.13183,1.90256,1.66306,1.47637,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,2439.83,2.04267,1.86353,1.47057,0.32436,0.30207,0.25557,0.14602,1.85239,1.62445,1.43581,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2697.78,2.00472,1.79369,1.44574,0.34316,0.2939,0.26543,0.15212,1.83896,1.58653,1.42769,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2954.67,1.98163,1.75747,1.42662,0.3595,0.29939,0.27674,0.16104,1.79153,1.54115,1.39464,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,3211.71,1.93941,1.71348,1.40976,0.37487,0.31617,0.29018,0.1678,1.77056,1.51057,1.37944,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,3469.92,1.92441,1.68688,1.39314,0.37143,0.3218,0.29643,0.17168,1.74969,1.48245,1.35767,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,3727.88,1.90348,1.65666,1.3806,0.36875,0.32326,0.30384,0.17728,1.73515,1.4788,1.34711,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3985.4,1.87424,1.62586,1.36309,0.38674,0.34013,0.31672,0.18741,1.71767,1.44353,1.34291,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,4242.75,1.86073,1.60997,1.35783,0.40542,0.33572,0.32049,0.18609,1.7148,1.43201,1.33641,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,4500.27,1.8459,1.58536,1.34594,0.39989,0.34715,0.32769,0.19359,1.69754,1.41809,1.32837,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,4757.29,1.82883,1.56336,1.33533,0.41629,0.36165,0.34147,0.20168,1.68528,1.40227,1.31944,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,5014.45,1.81521,1.5471,1.33282,0.41885,0.35564,0.34409,0.20392,1.68116,1.38564,1.3142,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,5271.89,1.81399,1.53584,1.32742,0.41431,0.36117,0.34631,0.20607,1.6754,1.38864,1.3097,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,5529.62,1.80048,1.51965,1.32085,0.42292,0.3581,0.34851,0.20628,1.66315,1.36945,1.30004,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,5787.35,1.78877,1.50413,1.3085,0.43514,0.37112,0.35703,0.21211,1.65679,1.35904,1.29515,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,6042.6,1.77261,1.48767,1.30626,0.42744,0.37126,0.35616,0.21231,1.65287,1.34923,1.29423,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,6301.14,1.76842,1.47647,1.30164,0.43752,0.36058,0.35439,0.21216,1.648,1.34789,1.28918,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,6558.84,1.76038,1.46898,1.29676,0.44328,0.37229,0.36652,0.22048,1.64016,1.33551,1.2851,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,6815.97,1.75425,1.45693,1.29231,0.4429,0.37854,0.37242,0.22262,1.64036,1.32671,1.28069,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,7073.65,1.74935,1.4532,1.28767,0.44643,0.38165,0.37202,0.22313,1.63104,1.32888,1.27503,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,7330.63,1.74974,1.44667,1.28437,0.44814,0.38599,0.37382,0.2249,1.62843,1.32266,1.27437,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,7599.23,1.73609,1.43441,1.28027,0.45529,0.37865,0.37628,0.22685,1.6188,1.31285,1.27066,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,7858.92,1.73011,1.42074,1.2738,0.44732,0.39084,0.37738,0.22636,1.61797,1.29779,1.26871,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,8116.79,1.72144,1.4149,1.27035,0.45535,0.39187,0.38742,0.23399,1.60683,1.29036,1.26408,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,8375.93,1.71324,1.40163,1.26508,0.45092,0.397,0.38159,0.2293,1.60579,1.28543,1.26279,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,8634.2,1.72123,1.40718,1.2724,0.45993,0.39267,0.38959,0.23428,1.60503,1.28523,1.25858,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,8893.02,1.71354,1.39192,1.26151,0.4662,0.3973,0.39572,0.23978,1.59731,1.27226,1.25727,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,9151.54,1.70586,1.38664,1.25654,0.46586,0.40099,0.39599,0.23805,1.60406,1.27103,1.25565,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,9409.07,1.71028,1.39043,1.262,0.48041,0.39751,0.39607,0.23949,1.59565,1.26632,1.25376,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,9666.48,1.69936,1.38043,1.25753,0.46788,0.39523,0.39502,0.23901,1.58583,1.26819,1.24633,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,9923.91,1.7049,1.37545,1.2548,0.48421,0.40074,0.39983,0.24231,1.58668,1.25933,1.24444,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,10181.5,1.6963,1.3682,1.24877,0.48412,0.4025,0.40439,0.24603,1.5861,1.26033,1.24481,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,10439,1.68699,1.35872,1.24679,0.48394,0.40134,0.40453,0.2448,1.58332,1.25597,1.24353,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,10697,1.6814,1.34955,1.24659,0.48358,0.40446,0.40512,0.24599,1.57583,1.25057,1.2395,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,10953.8,1.6762,1.3516,1.24513,0.48362,0.40958,0.40942,0.2479,1.57629,1.24483,1.23856,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,11221.1,1.67932,1.34847,1.24317,0.48018,0.41303,0.40961,0.24985,1.57248,1.24388,1.23663,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,11477,1.68068,1.34581,1.23957,0.49054,0.40794,0.41025,0.24895,1.57257,1.24505,1.23621,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,11731.2,1.667,1.3358,1.23999,0.49884,0.4066,0.41288,0.25189,1.56654,1.23872,1.23374,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,11987.8,1.67106,1.33405,1.23464,0.48992,0.41011,0.41281,0.25036,1.56453,1.23245,1.23249,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,12242.3,1.66739,1.3329,1.23531,0.48763,0.4092,0.4142,0.25105,1.56242,1.2342,1.23101,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,12496.7,1.65122,1.31817,1.23082,0.49203,0.41027,0.41684,0.25249,1.56297,1.23157,1.23052,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,12751.5,1.64911,1.31709,1.22441,0.49585,0.41454,0.41967,0.25444,1.5597,1.22283,1.22733,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,13016.8,1.65977,1.31795,1.2293,0.50312,0.41043,0.42089,0.25645,1.55724,1.2181,1.22675,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,13272.2,1.65142,1.30711,1.22591,0.49784,0.41525,0.42182,0.25596,1.55278,1.21975,1.22393,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,13529.5,1.65034,1.30894,1.22148,0.50349,0.42073,0.42458,0.25768,1.55183,1.21401,1.2236,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,13785.8,1.65001,1.30675,1.22497,0.5156,0.41698,0.42758,0.25985,1.54951,1.2133,1.2204,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,14041.8,1.64225,1.29917,1.21999,0.49056,0.42128,0.4246,0.25802,1.55192,1.21117,1.22172,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,14298.5,1.65509,1.30669,1.2242,0.50167,0.42074,0.42844,0.26173,1.5489,1.20847,1.22093,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,14555.1,1.63976,1.29494,1.21874,0.50575,0.4201,0.42962,0.26223,1.54759,1.20396,1.22025,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,14824.1,1.63492,1.28621,1.21502,0.50675,0.41784,0.42835,0.26143,1.54323,1.20303,1.21623,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,15082.2,1.63315,1.28328,1.21746,0.51151,0.4202,0.43022,0.26268,1.54156,1.20016,1.21682,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,15340.2,1.63566,1.28632,1.2155,0.5183,0.41928,0.43405,0.26475,1.5406,1.19893,1.21549,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,15598.5,1.6312,1.27799,1.21208,0.5091,0.4259,0.43572,0.26548,1.54242,1.1955,1.21588,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,15855.3,1.62702,1.2756,1.21061,0.51327,0.42646,0.4387,0.26763,1.54044,1.19446,1.21456,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,16112.8,1.62671,1.27772,1.20974,0.50534,0.42578,0.4384,0.26786,1.53648,1.19343,1.21208,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,16369.3,1.63199,1.27979,1.21033,0.50562,0.43144,0.43837,0.26732,1.53806,1.19383,1.21144,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,16627.5,1.63113,1.27505,1.21063,0.50896,0.42653,0.43795,0.26724,1.53892,1.19293,1.2109,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,16885.7,1.6192,1.26487,1.20325,0.50947,0.42966,0.43893,0.26745,1.53619,1.18785,1.21087,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,17142.6,1.61904,1.26497,1.20607,0.51409,0.4293,0.43864,0.26761,1.53221,1.18581,1.2077,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,17400.6,1.6203,1.26873,1.20223,0.52256,0.42531,0.4399,0.26883,1.53061,1.18383,1.20614,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,17657.3,1.61155,1.25866,1.20151,0.52373,0.42729,0.44189,0.26963,1.53058,1.1805,1.20684,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,17914.7,1.61579,1.26022,1.20464,0.52448,0.43067,0.44495,0.27232,1.52884,1.17849,1.20608,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,18171.8,1.61145,1.2571,1.20343,0.5318,0.42731,0.44345,0.27197,1.52956,1.17859,1.20592,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,18429,1.61484,1.25673,1.20153,0.52803,0.42944,0.44409,0.27179,1.52727,1.17606,1.2046,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,18686.8,1.61763,1.25874,1.20033,0.52613,0.42509,0.44494,0.27227,1.5269,1.17523,1.20262,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,18944.6,1.61012,1.24854,1.19787,0.5363,0.42844,0.44753,0.27441,1.52634,1.17215,1.20239,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,19203,1.60614,1.2477,1.19624,0.5346,0.42945,0.44961,0.27525,1.52455,1.17063,1.20202,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,19475.7,1.60395,1.24495,1.19306,0.52679,0.43517,0.44978,0.27593,1.52355,1.1699,1.20163,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,19732,1.59359,1.23933,1.19338,0.52402,0.43284,0.44828,0.27538,1.52267,1.16772,1.20015,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,19989.3,1.60478,1.24666,1.19687,0.52582,0.43448,0.44998,0.27652,1.52252,1.16832,1.20014,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,20247.2,1.60832,1.2396,1.1923,0.53066,0.43665,0.4508,0.27696,1.52071,1.1651,1.19931,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,20504,1.59487,1.23365,1.19148,0.52694,0.4381,0.45113,0.27812,1.52227,1.16394,1.19871,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,20761.3,1.5926,1.2335,1.19214,0.52643,0.43666,0.45037,0.27693,1.52109,1.16374,1.19871,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,21018.1,1.59895,1.22969,1.19222,0.53517,0.43419,0.4517,0.27671,1.51932,1.16211,1.19749,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,21275.9,1.59562,1.22595,1.189,0.52229,0.44442,0.45318,0.27868,1.51915,1.16029,1.19649,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,21533.3,1.59421,1.23032,1.18997,0.53214,0.44209,0.45242,0.27751,1.5198,1.16046,1.19699,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,21790.1,1.5943,1.22503,1.1892,0.52937,0.44288,0.45471,0.27945,1.51851,1.15777,1.1963,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,22047.3,1.59219,1.22469,1.18719,0.53956,0.43976,0.45527,0.27953,1.51781,1.15682,1.19509,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,22305.1,1.59084,1.2223,1.18543,0.5273,0.44075,0.45316,0.2784,1.51753,1.15773,1.195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,22563.3,1.5921,1.22262,1.18548,0.52373,0.44349,0.4539,0.27919,1.51684,1.15763,1.19497,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,22821.3,1.58896,1.21869,1.18618,0.53128,0.44523,0.45374,0.27875,1.51656,1.15762,1.19449,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,23078.8,1.58879,1.21528,1.18454,0.53519,0.44589,0.45769,0.28107,1.51542,1.15585,1.19319,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,23336.7,1.58981,1.21617,1.18592,0.52926,0.44738,0.45799,0.28152,1.51551,1.15468,1.19284,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,23594.1,1.5817,1.21148,1.1834,0.54063,0.44276,0.45835,0.28216,1.51462,1.15402,1.19249,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,23852,1.59505,1.21376,1.18248,0.53385,0.44644,0.45792,0.28191,1.51404,1.15316,1.19202,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,24109.8,1.58766,1.2151,1.18216,0.54067,0.44187,0.45793,0.28217,1.51334,1.1526,1.19199,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,24367.6,1.57961,1.20881,1.18028,0.53808,0.43973,0.45788,0.282,1.51274,1.15076,1.19149,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,24625.9,1.58445,1.21185,1.18178,0.54165,0.44265,0.45849,0.28239,1.51162,1.15027,1.19128,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,24882.5,1.57794,1.2064,1.18205,0.54176,0.44075,0.4576,0.28175,1.51132,1.14879,1.1909,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
