epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6212,3.72474,4.26515,3.2726,0.48611,0.03422,0.03832,0.01431,2.76949,2.75342,2.18506,0.00332716,0.00332716,0.00332716
2,151.05,2.56324,2.76668,1.95806,0.19714,0.12586,0.0751,0.03368,2.25752,2.14474,1.74294,0.00663851,0.00663851,0.00663851
3,217.15,2.23851,2.39569,1.68255,0.30937,0.14067,0.09819,0.04892,2.05854,2.0173,1.57456,0.00992787,0.00992787,0.00992787
4,282.879,2.04985,2.12977,1.52778,0.25974,0.17553,0.12361,0.06422,1.89186,1.80048,1.44361,0.009901,0.009901,0.009901
5,347.74,1.91069,1.94039,1.44057,0.21231,0.2,0.1579,0.08105,1.78345,1.657,1.39549,0.009868,0.009868,0.009868
6,413.532,1.84826,1.81909,1.3934,0.21166,0.21305,0.16073,0.08782,1.73395,1.65717,1.3438,0.009835,0.009835,0.009835
7,478.391,1.78472,1.72089,1.35831,0.25203,0.23562,0.18801,0.10343,1.65403,1.51092,1.30947,0.009802,0.009802,0.009802
8,543.551,1.73674,1.64801,1.32924,0.27937,0.25019,0.21304,0.11526,1.65245,1.45462,1.30491,0.009769,0.009769,0.009769
9,608.876,1.70352,1.59209,1.30374,0.28737,0.26174,0.22203,0.12046,1.60366,1.42786,1.28108,0.009736,0.009736,0.009736
10,673.798,1.67706,1.54186,1.29093,0.27692,0.25914,0.22306,0.12322,1.585,1.39963,1.26259,0.009703,0.009703,0.009703
11,738.545,1.64686,1.50859,1.27837,0.29089,0.27265,0.23063,0.12958,1.57199,1.38668,1.25187,0.00967,0.00967,0.00967
12,803.629,1.62227,1.46776,1.26826,0.34816,0.27473,0.25265,0.14107,1.55538,1.33398,1.25181,0.009637,0.009637,0.009637
13,868.283,1.6151,1.44515,1.25586,0.33565,0.29487,0.26337,0.14757,1.54831,1.32885,1.24263,0.009604,0.009604,0.009604
14,933.2,1.60206,1.42937,1.24971,0.3695,0.30132,0.28147,0.15972,1.51034,1.28694,1.21856,0.009571,0.009571,0.009571
15,998.368,1.59199,1.40938,1.24027,0.35982,0.3025,0.27869,0.15861,1.4855,1.25549,1.20934,0.009538,0.009538,0.009538
16,1063.03,1.5732,1.38137,1.23403,0.37278,0.30489,0.28938,0.16402,1.4865,1.27002,1.20588,0.009505,0.009505,0.009505
17,1128.04,1.55993,1.36612,1.22428,0.36921,0.3093,0.29261,0.16676,1.48161,1.2411,1.20641,0.009472,0.009472,0.009472
18,1193.13,1.55436,1.3493,1.21489,0.38761,0.31347,0.2982,0.16806,1.46757,1.24094,1.1967,0.009439,0.009439,0.009439
19,1258.24,1.54566,1.3406,1.21544,0.37494,0.32225,0.3016,0.17329,1.4728,1.22554,1.19591,0.009406,0.009406,0.009406
20,1322.94,1.53337,1.31847,1.21118,0.3844,0.32823,0.3055,0.17561,1.45682,1.20547,1.18751,0.009373,0.009373,0.009373
21,1388.01,1.53479,1.31549,1.20512,0.38406,0.33894,0.31442,0.18227,1.4424,1.19637,1.18143,0.00934,0.00934,0.00934
22,1452.72,1.52236,1.30262,1.19693,0.4067,0.3305,0.32248,0.18521,1.45035,1.19076,1.18532,0.009307,0.009307,0.009307
23,1517.53,1.51385,1.29021,1.19571,0.40688,0.3427,0.3256,0.18851,1.42443,1.17608,1.16875,0.009274,0.009274,0.009274
24,1582.31,1.50701,1.27869,1.19195,0.39844,0.3366,0.32429,0.18745,1.43561,1.17705,1.17357,0.009241,0.009241,0.009241
25,1647.06,1.50032,1.27391,1.19067,0.42194,0.33554,0.32649,0.18936,1.43218,1.17181,1.17009,0.009208,0.009208,0.009208
26,1712.1,1.49736,1.26408,1.18616,0.41213,0.34959,0.33261,0.19321,1.41944,1.16721,1.16084,0.009175,0.009175,0.009175
27,1777.02,1.49347,1.25723,1.18212,0.41923,0.34268,0.33418,0.19336,1.41586,1.15986,1.15791,0.009142,0.009142,0.009142
28,1841.71,1.4863,1.25395,1.17835,0.42045,0.34452,0.33233,0.19378,1.41322,1.15569,1.15594,0.009109,0.009109,0.009109
29,1906.82,1.49174,1.24511,1.17029,0.42461,0.34804,0.33916,0.19745,1.42319,1.16155,1.15126,0.009076,0.009076,0.009076
30,1971.58,1.50061,1.25568,1.16927,0.42666,0.35526,0.34079,0.2,1.42664,1.16406,1.1492,0.009043,0.009043,0.009043
